epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.812,2.2366,4.62292,1.91694,0.41981,0.13158,0.15381,0.04953,2.1575,4.05975,1.88473,0.000659649,0.000659649,0.000659649
2,81.1293,2.07112,3.29393,1.84451,0.37383,0.34211,0.27264,0.10428,2.34505,7.80231,2.53539,0.00130443,0.00130443,0.00130443
3,119.111,2.13424,2.72178,1.86892,0.14474,0.22723,0.07026,0.02335,2.53456,6.11874,2.47222,0.00192721,0.00192721,0.00192721
4,156.553,2.12992,2.47663,1.85543,0.29911,0.26316,0.20343,0.06299,2.52926,2.61222,2.11184,0.001901,0.001901,0.001901
5,194.576,2.06626,2.21723,1.83761,0.52736,0.34211,0.31782,0.09982,2.29495,2.60365,2.01831,0.001868,0.001868,0.001868
6,230.452,2.02493,2.10942,1.81825,0.52004,0.34216,0.33791,0.12309,2.27835,2.5054,1.97412,0.001835,0.001835,0.001835
7,265.78,1.98722,2.02135,1.7714,0.36196,0.28947,0.2408,0.10616,2.42248,2.75365,2.08433,0.001802,0.001802,0.001802
8,301.646,1.93206,1.95202,1.69328,0.47828,0.36842,0.34689,0.14895,2.19732,2.06468,1.89781,0.001769,0.001769,0.001769
9,337.299,1.90018,1.84473,1.69978,0.57127,0.3509,0.3668,0.17558,2.01954,2.19269,1.75795,0.001736,0.001736,0.001736
10,373.225,1.82389,1.77406,1.6783,0.41128,0.57001,0.45585,0.20411,2.1558,2.02239,1.93492,0.001703,0.001703,0.001703
11,409.463,1.85009,1.73345,1.68458,0.76535,0.36842,0.47677,0.20086,2.10111,2.32861,1.87318,0.00167,0.00167,0.00167
12,446.229,1.82954,1.72624,1.66666,0.57978,0.36842,0.38252,0.12481,2.35017,2.02123,2.08609,0.001637,0.001637,0.001637
13,482.601,1.73348,1.6249,1.58142,0.46235,0.44737,0.35624,0.14648,2.21974,1.99952,2.02485,0.001604,0.001604,0.001604
14,522.808,1.78071,1.61225,1.62026,0.3714,0.47368,0.38686,0.17482,2.01765,1.67124,1.75881,0.001571,0.001571,0.001571
15,558.779,1.71235,1.49351,1.59036,0.56638,0.47368,0.47813,0.21131,2.09925,1.59113,1.8624,0.001538,0.001538,0.001538
16,593.987,1.75185,1.53201,1.59501,0.54874,0.36842,0.36922,0.16004,2.19712,1.77176,1.89471,0.001505,0.001505,0.001505
17,629.202,1.69393,1.44399,1.57086,0.51327,0.47368,0.46011,0.18114,2.13574,1.83764,1.97222,0.001472,0.001472,0.001472
18,664.639,1.66536,1.38446,1.53871,0.45879,0.36842,0.36038,0.17805,2.02998,2.67178,1.7748,0.001439,0.001439,0.001439
19,700.065,1.62552,1.30731,1.54864,0.58415,0.39474,0.44798,0.20484,1.93492,1.78812,1.76879,0.001406,0.001406,0.001406
20,735.453,1.64072,1.35571,1.51525,0.61075,0.60526,0.60099,0.22536,2.15272,1.59875,1.89709,0.001373,0.001373,0.001373
21,770.801,1.60312,1.34907,1.50221,0.65387,0.49722,0.50239,0.25293,1.8598,1.65558,1.64861,0.00134,0.00134,0.00134
22,806.128,1.60228,1.26058,1.48655,0.79431,0.40682,0.4946,0.24396,1.8329,1.51848,1.69604,0.001307,0.001307,0.001307
23,841.44,1.53238,1.28625,1.43195,0.61769,0.55272,0.44314,0.21073,1.91266,1.55439,1.7371,0.001274,0.001274,0.001274
24,876.951,1.54139,1.1665,1.42891,0.54397,0.5023,0.43873,0.19361,1.89227,1.58291,1.6512,0.001241,0.001241,0.001241
25,912.103,1.51523,1.15987,1.43827,0.53542,0.47368,0.45191,0.16628,2.00287,1.56557,1.77294,0.001208,0.001208,0.001208
26,947.656,1.51693,1.1852,1.41734,0.58094,0.42105,0.40159,0.19457,1.95066,1.78528,1.75387,0.001175,0.001175,0.001175
